status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,406935622665,1.249652975,891555,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-28 05:43:42+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809230226009091,risk_backfave
SETTLED,406935630331,1.249652975,891555,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-28 05:43:49+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809230299093809,risk_backfave
SETTLED,406935640926,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 05:43:59+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809230398242483,risk_backfave
SETTLED,406935665796,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 05:44:28+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809230682426540,risk_backfave
SETTLED,406935748024,1.249652975,891555,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-28 05:46:16+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809231765024643,risk_backfave
SETTLED,406935756417,1.249652975,891555,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-28 05:46:30+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809231908046069,risk_backfave
SETTLED,406935912369,1.249652975,891555,0.0,BACK,1.21,2.0,0.0,0.42,0.0,0.42,,2025-10-28 05:51:14+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809234745633199,risk_backfave
SETTLED,406935982999,1.249652975,891555,0.0,BACK,1.19,1.35,0.0,0.26,0.0,0.26,,2025-10-28 05:53:22+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809236025366168,risk_backfave
SETTLED,406936059381,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 05:55:23+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809237237094535,risk_backfave
SETTLED,406936178558,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 05:58:40+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809239208541928,risk_backfave
SETTLED,406936351588,1.249652975,891555,0.0,BACK,1.19,2.0,0.0,0.38,0.0,0.38,,2025-10-28 06:02:36+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809241565912054,risk_backfave
SETTLED,406936368564,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 06:02:56+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809241761091706,risk_backfave
SETTLED,406936883066,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 06:14:09+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809248493572998,risk_backfave
SETTLED,406936927495,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 06:15:15+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809249157062951,risk_backfave
SETTLED,406937002191,1.249652975,891555,0.0,BACK,1.2,2.0,0.0,0.4,0.0,0.4,,2025-10-28 06:17:19+00:00,2025-10-28 13:26:12+00:00,bcd7950339dcf-139809250391810793,risk_backfave
